Date,Country,State(USA only),City,Title
15 Jun 2022, Belgium,,Bruxelles / Brussel (Brussels),Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
15 Jun 2022, Germany,,Berlin,Peter Ruzicka,"return overlib('Deutsches Symphonie-Orchester Berlin<BR>Peter Ruzicka, conductor<BR>François Leleux, oboe<BR><BR>program<BR>Alban Berg - Sonata for Piano in B minor, Op. 1, arranged for orchestra by Theo Verbey<BR>Peter Ruzicka - Aulodie for oboe and chamber orchestra<BR>Edgard Varèse - Arcana‹')"
15 Jun 2022, Switzerland,,Winterthur,Oedipus Rex,"return overlib('Orchester Musikkollegium Winterthur<BR>Jac van Steen, conductor<BR>Gentlemen of the Slovak Philharmonic Choir Bratislava<BR>Sunnyi Melles, presenter<BR><BR>Bedrich Smetana - Overture to the opera \""The Bartered Bride\""<BR>Bedrich Smetana - Dance of the Comedians from the opera \""The B')"
15 Jun 2022, Russia,,Krasnodar,David Garrett 'alive tour',"return overlib('The superstar of classical, rock and pop music takes us on his personal journey through the film soundtrack of his life.<BR><BR>We all enjoy recalling special moments and formative experiences:  favourite songs from across many different genres, which immediately bring pictures and emotions to mind,')"
15 Jun 2022, Netherlands,,Amsterdam,Candlelight Open Air: The Best of Joe Hisaishi,return overlib('Joe Hisaishi:<BR>Nausicaa of the Valley of the Wind - Opening Theme<BR>Laputa: Castle in the Sky - Kimi wo Nosete - Carrying You<BR>My Neighbour Totoro - Kaze no Toori Michi - Path of the Wind<BR>My Neighbour Totoro - Tonari no Totoro - Main Theme<BR>Kiki\'s Delivery Service - Umi no Mieru Machi - A')
15 Jun 2022, Taiwan,,Kaohsiung,14th Anniversary Concert,"return overlib('NNKIEH Ｗind Orchestra founded in 2008, now celebrates its 14th anniversary. Our elementary, junior, and high school divisions had won the championship and gold prize in the Taiwan National Student Competition of Music. In the past  years, we have won great honours during these competitions through')"
15 Jun 2022, Netherlands,,Maastricht,The Music from James Bond,"return overlib('Metropole Orkest<BR>Tim Akkerman, vocals<BR>Dorona Alberti, vocals<BR><BR>Immerse yourself in the world of espionage and glamor with the program The Music from James Bond. Tim Akkerman (formerly Di-rect) and Dorona Alberti (Gare du Nord) perform together with the Metropole Orchestra the most iconic ')"
16 Jun 2022, Netherlands,,Amsterdam,Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
16 Jun 2022, Switzerland,,Winterthur,Oedipus Rex,"return overlib('Orchester Musikkollegium Winterthur<BR>Jac van Steen, conductor<BR>Gentlemen of the Slovak Philharmonic Choir Bratislava<BR>Sunnyi Melles, presenter<BR><BR>Bedrich Smetana - Overture to the opera \""The Bartered Bride\""<BR>Bedrich Smetana - Dance of the Comedians from the opera \""The B')"
16 Jun 2022, Austria,,Wien (Vienna),Vijay Upadhyaya | John Williams,return overlib('The Music of John Williams<BR>- Star Wars<BR>- Harry Potter<BR>- Jurassic Park<BR>and much more ')
16 Jun 2022, USA,Texas,The Woodlands,Disney's The Little Mermaid Live - In Concert,"return overlib('Alan Menken, Howard Ashman - The Little Mermaid<BR><BR>Disney’s animated classic, “The Little Mermaid” will be given new life for a special evening at The Pavilion. <BR> <BR>As “The Little Mermaid” plays on three large screens, the Houston Symphony will perform the film')"
16 Jun 2022, United Kingdom,,Manchester,The Kid,"return overlib('Charles Chaplin - The Kid<BR><BR>Widely considered one of the greatest films of the silent era, The Kid is a 1921 silent comedy-drama film written, produced, directed, and starring Charlie Chaplin. The opening title “A comedy with a smile–and perhaps a tear”, sums up its perfect bl')"
16 Jun 2022, Spain,,Bilbao,Video Games & Anime in Concert,"return overlib('Power Up Orchestra returns to Spain with a symphonic concert with a new repertoire full of the best music in the world of ANIME and video games.<BR><BR>These ready to get on the Eva, summon the great dragon and raise your cosmos?<BR>Make yourself with all your friends, save the concert data on your ')"
16 Jun 2022, Japan,,Tokyo,Olympic Concert 2022,"return overlib('Part 1 Thank you for your courage and hope!<BR>Ballet Suite \""Sleeping Beauty\"" Op. 66a to 5th song <Waltz> (Pyotr Ilyitch Tchaikovsky)<BR>Symphony No. 4 in A major, Op. 40 \""Italy\"" to 1st movement (Felix Mendelssohn)<BR>March song \""Pomp and Circumstance\"" Op. 3')"
17 Jun 2022, Canada,,Vancouver,Music of Joe Hisaishi,"return overlib('Prolific composer and pianist Joe Hisaishi is the musical mastermind behind the score of numerous films. This symphonic concert celebrates his long and fruitful collaboration with the master of animated cinema, Hayao Miyazaki.<BR><BR>Joe Hisaishi - Symphony No. 2<BR>Joe Hisaishi - Woman for Piano, H')"
