Genre,Âge,Statut,Revenus,Fumeur?,Cigarettes par jour (week-end),Cigarettes par jour (semaine),Type
Homme,38,Divorcé,"2,600 à 5,200",Non,0,0,
Femme,42,Célibataire,"Sous 2,600",Oui,12,12,Paquets
Homme,40,Marrié,"28,600 à 36,400",Non,0,0,
Femme,40,Marrié,"10,400 à 15,600",Non,0,0,
Femme,39,Marrié,"2,600 à 5,200",Non,0,0,
Femme,37,Marrié,"15,600 à 20,800",Non,0,0,
Homme,53,Marrié,"Au-dessus 36,400",Oui,6,6,Paquets
Homme,44,Célibataire,"10,400 à 15,600",Non,0,0,
Homme,40,Célibataire,"2,600 à 5,200",Oui,8,8,Roulées à la main
Femme,41,Marrié,"5,200 à 10,400",Oui,15,12,Paquets
Homme,72,Veuf,"10,400 à 15,600",Non,0,0,
Homme,49,Marrié,,Non,0,0,
Homme,29,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,79,Veuf,"10,400 à 15,600",Non,0,0,
Homme,25,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,27,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,30,Célibataire,"20,800 à 28,600",Non,0,0,
Homme,47,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,69,Célibataire,"2,600 à 5,200",Non,0,0,
Homme,55,Marrié,"20,800 à 28,600",Non,0,0,
Femme,34,Marrié,"2,600 à 5,200",Oui,6,12,Paquets
Femme,36,Marrié,"5,200 à 10,400",Oui,5,2,Paquets
Femme,56,Marrié,"2,600 à 5,200",Oui,20,20,Paquets
Homme,71,Divorcé,,Non,0,0,
Femme,38,Marrié,"5,200 à 10,400",Non,0,0,
Femme,79,Marrié,"Sous 2,600",Non,0,0,
Femme,58,Divorcé,"5,200 à 10,400",Oui,25,20,Paquets
Femme,69,Marrié,"Sous 2,600",Non,0,0,
Homme,83,Veuf,"2,600 à 5,200",Non,0,0,
Femme,73,Veuf,"5,200 à 10,400",Non,0,0,
Femme,42,Marrié,,Oui,40,15,Paquets
Femme,31,Marrié,"Sous 2,600",Oui,15,15,Les deux
Homme,26,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,27,Separated,"15,600 à 20,800",Non,0,0,
Femme,57,Marrié,"10,400 à 15,600",Non,0,0,
Femme,30,Marrié,"2,600 à 5,200",Non,0,0,
Femme,22,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,78,Veuf,"Sous 2,600",Oui,20,20,Paquets
Femme,49,Marrié,"15,600 à 20,800",Non,0,0,
Homme,74,Marrié,"15,600 à 20,800",Non,0,0,
Homme,85,Veuf,"20,800 à 28,600",Non,0,0,
Homme,75,Marrié,,Non,0,0,
Femme,80,Veuf,"2,600 à 5,200",Non,0,0,
Femme,37,Marrié,"Sous 2,600",Non,0,0,
Femme,33,Célibataire,"10,400 à 15,600",Non,0,0,
Homme,41,Divorcé,"15,600 à 20,800",Non,0,0,
Femme,81,Veuf,"2,600 à 5,200",Non,0,0,
Femme,76,Veuf,"2,600 à 5,200",Oui,6,6,Paquets
Femme,58,Marrié,"10,400 à 15,600",Non,0,0,
Homme,59,Marrié,"15,600 à 20,800",Oui,25,25,Paquets
Femme,40,Divorcé,"5,200 à 10,400",Oui,4,4,Paquets
Femme,54,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,49,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,79,Veuf,"5,200 à 10,400",Non,0,0,
Homme,28,Marrié,"20,800 à 28,600",Oui,20,20,Paquets
Homme,44,Marrié,"5,200 à 10,400",Non,0,0,
Femme,42,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,36,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,89,Veuf,"5,200 à 10,400",Non,0,0,
Femme,64,Marrié,"2,600 à 5,200",Non,0,0,
Femme,76,Marrié,"Sous 2,600",Non,0,0,
Femme,76,Marrié,"Sous 2,600",Non,0,0,
Femme,61,Marrié,"2,600 à 5,200",Non,0,0,
Femme,81,Veuf,"5,200 à 10,400",Non,0,0,
Femme,20,Célibataire,"2,600 à 5,200",Oui,20,10,Paquets
Femme,82,Veuf,"5,200 à 10,400",Non,0,0,
Femme,23,Célibataire,"5,200 à 10,400",Oui,20,10,Paquets
Homme,41,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,31,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,44,Marrié,"20,800 à 28,600",Oui,5,0,Paquets
Femme,42,Marrié,"10,400 à 15,600",Non,0,0,
Homme,67,Veuf,"5,200 à 10,400",Oui,20,20,Paquets
Homme,53,Marrié,"20,800 à 28,600",Non,0,0,
Homme,76,Marrié,"10,400 à 15,600",Non,0,0,
Homme,40,Marrié,"2,600 à 5,200",Oui,30,30,Roulées à la main
Homme,44,Marrié,"15,600 à 20,800",Non,0,0,
Femme,31,Separated,"15,600 à 20,800",Oui,20,20,Paquets
Homme,43,Divorcé,"2,600 à 5,200",Oui,20,20,Roulées à la main
Femme,36,Separated,"10,400 à 15,600",Non,0,0,
Femme,34,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,18,Célibataire,"2,600 à 5,200",Oui,10,3,Paquets
Homme,56,Marrié,"5,200 à 10,400",Non,0,0,
Femme,73,Marrié,"Sous 2,600",Non,0,0,
Femme,22,Célibataire,"2,600 à 5,200",Oui,20,20,Paquets
Femme,33,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,27,Célibataire,"15,600 à 20,800",Oui,10,0,Paquets
Femme,33,Marrié,"10,400 à 15,600",Non,0,0,
Femme,63,Marrié,"Sous 2,600",Non,0,0,
Femme,64,Marrié,"2,600 à 5,200",Non,0,0,
Homme,54,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,34,Marrié,"Sous 2,600",Non,0,0,
Homme,78,Marrié,"10,400 à 15,600",Non,0,0,
Femme,54,Marrié,"Sous 2,600",Non,0,0,
Homme,56,Separated,"28,600 à 36,400",Non,0,0,
Homme,78,Veuf,"2,600 à 5,200",Non,0,0,
Femme,37,Marrié,"5,200 à 10,400",Non,0,0,
Homme,54,Marrié,"28,600 à 36,400",Non,0,0,
Femme,40,Marrié,"20,800 à 28,600",Oui,15,15,Roulées à la main
Femme,64,Divorcé,"2,600 à 5,200",Non,0,0,
Femme,42,Marrié,"5,200 à 10,400",Non,0,0,
Femme,34,Marrié,"2,600 à 5,200",Non,0,0,
Femme,64,Marrié,"Sous 2,600",Non,0,0,
Femme,50,Divorcé,"15,600 à 20,800",Non,0,0,
Femme,31,Marrié,"10,400 à 15,600",Non,0,0,
Femme,37,Marrié,"Au-dessus 36,400",Non,0,0,
Homme,81,Marrié,"10,400 à 15,600",Non,0,0,
Homme,57,Separated,"5,200 à 10,400",Oui,10,10,Roulées à la main
Femme,59,Marrié,"2,600 à 5,200",Non,0,0,
Homme,66,Marrié,"20,800 à 28,600",Non,0,0,
Homme,57,Marrié,"20,800 à 28,600",Non,0,0,
Femme,78,Veuf,"5,200 à 10,400",Non,0,0,
Homme,49,Marrié,"20,800 à 28,600",Non,0,0,
Femme,62,Marrié,"15,600 à 20,800",Non,0,0,
Femme,17,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,36,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,31,Célibataire,,Oui,7,7,Paquets
Femme,61,Marrié,"15,600 à 20,800",Oui,25,25,Paquets
Homme,71,Veuf,"15,600 à 20,800",Oui,40,40,Paquets
Femme,75,Veuf,"5,200 à 10,400",Oui,12,12,Paquets
Femme,43,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,68,Veuf,,Non,0,0,
Femme,65,Veuf,"15,600 à 20,800",Non,0,0,
Femme,85,Veuf,"5,200 à 10,400",Non,0,0,
Femme,35,Separated,"5,200 à 10,400",Oui,20,20,Les deux
Femme,52,Marrié,"15,600 à 20,800",Non,0,0,
Femme,28,Célibataire,"5,200 à 10,400",Oui,15,15,Paquets
Homme,52,Célibataire,"20,800 à 28,600",Non,0,0,
Homme,67,Veuf,"5,200 à 10,400",Oui,25,25,Roulées à la main
Femme,35,Divorcé,"5,200 à 10,400",Oui,30,30,Les deux
Femme,68,Marrié,"2,600 à 5,200",Non,0,0,
Femme,34,Marrié,"10,400 à 15,600",Non,0,0,
Femme,57,Divorcé,"2,600 à 5,200",Oui,20,12,Roulées à la main
Homme,37,Marrié,"15,600 à 20,800",Oui,8,8,Roulées à la main
Femme,37,Divorcé,"5,200 à 10,400",Oui,15,15,Paquets
Homme,43,Divorcé,"10,400 à 15,600",Oui,15,15,Paquets
Homme,59,Veuf,"2,600 à 5,200",Non,0,0,
Femme,28,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,60,Marrié,"5,200 à 10,400",Non,0,0,
Homme,16,Célibataire,"Sous 2,600",Non,0,0,
Homme,37,Célibataire,"2,600 à 5,200",Oui,40,40,Roulées à la main
Homme,34,Marrié,"15,600 à 20,800",Non,0,0,
Femme,73,Marrié,"5,200 à 10,400",Non,0,0,
Homme,24,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,36,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,39,Separated,"10,400 à 15,600",Oui,20,20,Les deux
Femme,74,Marrié,,Non,0,0,
Femme,32,Marrié,"Sous 2,600",Oui,15,15,Paquets
Femme,30,Marrié,"15,600 à 20,800",Non,0,0,
Femme,68,Marrié,"15,600 à 20,800",Non,0,0,
Femme,49,Marrié,,Non,0,0,
Femme,47,Marrié,"2,600 à 5,200",Non,0,0,
Homme,30,Célibataire,"10,400 à 15,600",Oui,30,30,Roulées à la main
Homme,60,Divorcé,"10,400 à 15,600",Oui,15,8,Roulées à la main
Homme,72,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,73,Marrié,"10,400 à 15,600",Non,0,0,
Femme,48,Veuf,"10,400 à 15,600",Oui,20,4,Paquets
Homme,53,Divorcé,"Au-dessus 36,400",Non,0,0,
Homme,17,Célibataire,,Non,0,0,
Femme,58,Marrié,"5,200 à 10,400",Non,0,0,
Femme,34,Marrié,"10,400 à 15,600",Non,0,0,
Homme,44,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,23,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,49,Marrié,"20,800 à 28,600",Non,0,0,
Homme,30,Marrié,"15,600 à 20,800",Non,0,0,
Femme,61,Veuf,"5,200 à 10,400",Non,0,0,
Homme,38,Separated,"10,400 à 15,600",Oui,9,9,Roulées à la main
Homme,30,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,44,Marrié,"15,600 à 20,800",Non,0,0,
Homme,91,Veuf,"Sous 2,600",Non,0,0,
Homme,40,Divorcé,"Au-dessus 36,400",Non,0,0,
Femme,63,Marrié,"2,600 à 5,200",Non,0,0,
Femme,61,Divorcé,"2,600 à 5,200",Oui,30,30,Paquets
Femme,40,Marrié,"5,200 à 10,400",Non,0,0,
Femme,57,Marrié,"Sous 2,600",Oui,15,15,Les deux
Femme,41,Marrié,"28,600 à 36,400",Non,0,0,
Femme,32,Célibataire,"2,600 à 5,200",Oui,7,5,Roulées à la main
Homme,76,Marrié,"5,200 à 10,400",Non,0,0,
Femme,35,Divorcé,"10,400 à 15,600",Oui,2,2,Paquets
Homme,70,Marrié,"5,200 à 10,400",Non,0,0,
Femme,75,Veuf,"5,200 à 10,400",Non,0,0,
Femme,74,Veuf,"2,600 à 5,200",Non,0,0,
Homme,49,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,56,Marrié,"Sous 2,600",Non,0,0,
Homme,60,Marrié,"15,600 à 20,800",Non,0,0,
Femme,72,Veuf,"5,200 à 10,400",Non,0,0,
Homme,17,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,23,Célibataire,"20,800 à 28,600",Non,0,0,
Homme,79,Marrié,"5,200 à 10,400",Non,0,0,
Femme,65,Separated,"2,600 à 5,200",Non,0,0,
Femme,57,Marrié,"5,200 à 10,400",Non,0,0,
Femme,37,Marrié,"15,600 à 20,800",Non,0,0,
Homme,79,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,71,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,87,Veuf,,Non,0,0,
Homme,59,Marrié,"28,600 à 36,400",Oui,40,40,Paquets
Homme,21,Célibataire,"10,400 à 15,600",Oui,20,8,Paquets
Femme,66,Marrié,"Sous 2,600",Non,0,0,
Homme,58,Marrié,"28,600 à 36,400",Non,0,0,
Homme,38,Marrié,"Au-dessus 36,400",Oui,30,15,Les deux
Homme,61,Veuf,"15,600 à 20,800",Non,0,0,
Homme,37,Separated,"Au-dessus 36,400",Non,0,0,
Femme,38,Marrié,"5,200 à 10,400",Non,0,0,
Homme,34,Marrié,"28,600 à 36,400",Non,0,0,
Femme,34,Marrié,"10,400 à 15,600",Non,0,0,
Femme,20,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,77,Veuf,"5,200 à 10,400",Oui,20,20,Paquets
Femme,31,Célibataire,"2,600 à 5,200",Oui,20,15,Roulées à la main
Homme,28,Célibataire,"2,600 à 5,200",Oui,2,2,Paquets
Femme,36,Marrié,"5,200 à 10,400",Non,0,0,
Femme,16,Célibataire,"5,200 à 10,400",Oui,12,12,Paquets
Homme,42,Marrié,"5,200 à 10,400",Non,0,0,
Femme,47,Marrié,"Sous 2,600",Non,0,0,
Homme,42,Marrié,"28,600 à 36,400",Non,0,0,
Femme,67,Veuf,"2,600 à 5,200",Non,0,0,
Femme,72,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,40,Divorcé,"10,400 à 15,600",Oui,25,30,Paquets
Femme,34,Célibataire,"Au-dessus 36,400",Non,0,0,
Homme,75,Marrié,"15,600 à 20,800",Non,0,0,
Femme,35,Marrié,"5,200 à 10,400",Non,0,0,
Femme,40,Separated,"5,200 à 10,400",Oui,10,10,Paquets
Femme,46,Marrié,"15,600 à 20,800",Non,0,0,
Homme,23,Marrié,"15,600 à 20,800",Non,0,0,
Homme,42,Marrié,"10,400 à 15,600",Non,0,0,
Homme,63,Marrié,"2,600 à 5,200",Non,0,0,
Femme,33,Marrié,"5,200 à 10,400",Non,0,0,
Femme,31,Marrié,"15,600 à 20,800",Non,0,0,
Homme,54,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,33,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,24,Célibataire,"15,600 à 20,800",Oui,12,8,Roulées à la main
Femme,80,Veuf,"5,200 à 10,400",Non,0,0,
Femme,77,Célibataire,"2,600 à 5,200",Non,0,0,
Homme,51,Marrié,"10,400 à 15,600",Non,0,0,
Homme,16,Célibataire,,Non,0,0,
Homme,27,Célibataire,,Oui,15,15,Paquets
Femme,75,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,24,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,78,Veuf,"5,200 à 10,400",Oui,50,50,Les deux
Femme,20,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,18,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,25,Separated,"10,400 à 15,600",Non,0,0,
Femme,55,Separated,"5,200 à 10,400",Oui,10,7,Les deux
Femme,29,Marrié,"10,400 à 15,600",Oui,10,5,Paquets
Femme,67,Divorcé,"5,200 à 10,400",Non,0,0,
Femme,79,Veuf,"5,200 à 10,400",Non,0,0,
Homme,44,Célibataire,"20,800 à 28,600",Non,0,0,
Homme,47,Marrié,"20,800 à 28,600",Non,0,0,
Femme,41,Divorcé,"10,400 à 15,600",Non,0,0,
Femme,31,Marrié,"10,400 à 15,600",Oui,5,0,Paquets
Homme,32,Marrié,"10,400 à 15,600",Non,0,0,
Femme,68,Veuf,,Non,0,0,
Femme,84,Veuf,"Sous 2,600",Non,0,0,
Homme,67,Marrié,"10,400 à 15,600",Non,0,0,
Homme,49,Marrié,"10,400 à 15,600",Non,0,0,
Homme,69,Marrié,"5,200 à 10,400",Oui,6,8,Roulées à la main
Homme,64,Marrié,"28,600 à 36,400",Oui,16,18,Paquets
Homme,62,Marrié,"20,800 à 28,600",Non,0,0,
Homme,52,Divorcé,"5,200 à 10,400",Non,0,0,
Homme,45,Marrié,"28,600 à 36,400",Non,0,0,
Femme,28,Divorcé,"10,400 à 15,600",Oui,15,15,Paquets
Femme,36,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,73,Divorcé,"5,200 à 10,400",Non,0,0,
Homme,48,Veuf,"10,400 à 15,600",Non,0,0,
Homme,67,Veuf,"10,400 à 15,600",Oui,10,10,Les deux
Femme,38,Divorcé,"20,800 à 28,600",Non,0,0,
Femme,40,Divorcé,"10,400 à 15,600",Oui,5,0,Paquets
Homme,43,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,30,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,70,Veuf,"5,200 à 10,400",Non,0,0,
Femme,82,Veuf,"5,200 à 10,400",Non,0,0,
Femme,78,Veuf,"5,200 à 10,400",Non,0,0,
Homme,21,Célibataire,"Sous 2,600",Oui,20,10,Paquets
Homme,67,Veuf,"15,600 à 20,800",Non,0,0,
Homme,16,Célibataire,,Non,0,0,
Femme,21,Célibataire,"5,200 à 10,400",Oui,40,15,Paquets
Homme,68,Separated,"5,200 à 10,400",Oui,8,8,Paquets
Homme,41,Marrié,"2,600 à 5,200",Oui,20,10,Paquets
Homme,33,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,28,Marrié,"Sous 2,600",Non,0,0,
Femme,75,Marrié,"2,600 à 5,200",Oui,5,5,Paquets
Femme,21,Célibataire,"5,200 à 10,400",Oui,5,10,Paquets
Femme,69,Divorcé,"2,600 à 5,200",Non,0,0,
Femme,38,Marrié,"5,200 à 10,400",Non,0,0,
Femme,33,Célibataire,"5,200 à 10,400",Oui,10,4,Paquets
Femme,47,Marrié,"5,200 à 10,400",Non,0,0,
Femme,44,Célibataire,"2,600 à 5,200",Oui,35,35,Roulées à la main
Femme,74,Marrié,"Sous 2,600",Non,0,0,
Femme,29,Marrié,"Sous 2,600",Non,0,0,
Femme,23,Marrié,"Sous 2,600",Non,0,0,
Femme,72,Veuf,"2,600 à 5,200",Non,0,0,
Femme,31,Veuf,"5,200 à 10,400",Oui,10,8,Paquets
Femme,48,Marrié,"Sous 2,600",Non,0,0,
Femme,29,Marrié,"5,200 à 10,400",Non,0,0,
Homme,72,Marrié,"5,200 à 10,400",Non,0,0,
Femme,52,Marrié,,Non,0,0,
Femme,68,Célibataire,"5,200 à 10,400",Non,0,0,
Homme,48,Marrié,"15,600 à 20,800",Oui,40,40,Les deux
Femme,55,Marrié,"10,400 à 15,600",Non,0,0,
Femme,23,Marrié,"10,400 à 15,600",Oui,7,7,Paquets
Femme,66,Veuf,"2,600 à 5,200",Non,0,0,
Femme,33,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,37,Marrié,"Sous 2,600",Oui,10,10,Paquets
Homme,42,Marrié,"20,800 à 28,600",Non,0,0,
Femme,46,Marrié,"10,400 à 15,600",Oui,20,20,Roulées à la main
Homme,57,Marrié,"28,600 à 36,400",Non,0,0,
Femme,36,Marrié,"Sous 2,600",Non,0,0,
Femme,51,Marrié,"20,800 à 28,600",Non,0,0,
Femme,18,Célibataire,,Oui,8,8,Roulées à la main
Femme,69,Marrié,"Sous 2,600",Non,0,0,
Homme,30,Célibataire,"15,600 à 20,800",Non,0,0,
Homme,51,Marrié,"28,600 à 36,400",Non,0,0,
Femme,63,Marrié,"5,200 à 10,400",Non,0,0,
Femme,31,Célibataire,"28,600 à 36,400",Non,0,0,
Homme,58,Célibataire,"10,400 à 15,600",Non,0,0,
Homme,50,Marrié,"20,800 à 28,600",Oui,15,15,Paquets
Femme,67,Divorcé,"2,600 à 5,200",Oui,20,20,Roulées à la main
Homme,20,Célibataire,,Non,0,0,
Femme,45,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,26,Marrié,"5,200 à 10,400",Non,0,0,
Homme,30,Célibataire,"28,600 à 36,400",Non,0,0,
Femme,43,Marrié,,Non,0,0,
Homme,73,Veuf,"2,600 à 5,200",Non,0,0,
Femme,52,Marrié,"Sous 2,600",Non,0,0,
Homme,18,Célibataire,"10,400 à 15,600",Oui,15,10,Les deux
Homme,52,Marrié,"28,600 à 36,400",Non,0,0,
Homme,33,Divorcé,"15,600 à 20,800",Non,0,0,
Femme,56,Divorcé,"15,600 à 20,800",Non,0,0,
Femme,65,Marrié,"2,600 à 5,200",Non,0,0,
Femme,30,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,40,Marrié,"5,200 à 10,400",Oui,10,1,Les deux
Femme,26,Célibataire,"5,200 à 10,400",Oui,20,20,Paquets
Homme,74,Célibataire,,Non,0,0,
Femme,44,Marrié,"28,600 à 36,400",Non,0,0,
Femme,80,Veuf,"2,600 à 5,200",Non,0,0,
Femme,67,Marrié,"Sous 2,600",Non,0,0,
Femme,59,Marrié,,Non,0,0,
Femme,28,Célibataire,"5,200 à 10,400",Oui,15,10,Paquets
Femme,31,Marrié,"15,600 à 20,800",Non,0,0,
Homme,25,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,64,Marrié,"Sous 2,600",Non,0,0,
Homme,68,Marrié,"2,600 à 5,200",Non,0,0,
Femme,61,Veuf,"5,200 à 10,400",Non,0,0,
Femme,50,Divorcé,"10,400 à 15,600",Non,0,0,
Homme,43,Marrié,"Au-dessus 36,400",Non,0,0,
Femme,19,Célibataire,"Sous 2,600",Non,0,0,
Femme,21,Marrié,"Sous 2,600",Non,0,0,
Homme,51,Divorcé,"2,600 à 5,200",Non,0,0,
Homme,65,Célibataire,"5,200 à 10,400",Non,0,0,
Femme,50,Separated,"2,600 à 5,200",Non,0,0,
Femme,38,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,78,Veuf,"5,200 à 10,400",Non,0,0,
Homme,74,Veuf,"2,600 à 5,200",Non,0,0,
Femme,22,Célibataire,"2,600 à 5,200",Non,0,0,
Homme,66,Marrié,"5,200 à 10,400",Non,0,0,
Femme,48,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,59,Marrié,"5,200 à 10,400",Non,0,0,
Femme,69,Veuf,,Non,0,0,
Femme,76,Veuf,"5,200 à 10,400",Oui,20,20,Paquets
Femme,21,Célibataire,"2,600 à 5,200",Non,0,0,
Femme,47,Marrié,"10,400 à 15,600",Non,0,0,
Femme,77,Veuf,"2,600 à 5,200",Non,0,0,
Femme,25,Célibataire,"10,400 à 15,600",Oui,10,10,Paquets
Femme,71,Veuf,"2,600 à 5,200",Non,0,0,
Femme,24,Célibataire,"2,600 à 5,200",Oui,10,10,Paquets
Femme,90,Veuf,"2,600 à 5,200",Non,0,0,
Femme,41,Divorcé,"5,200 à 10,400",Oui,10,10,Paquets
Femme,69,Marrié,"Sous 2,600",Non,0,0,
Femme,35,Marrié,"15,600 à 20,800",Non,0,0,
Femme,32,Célibataire,"5,200 à 10,400",Oui,12,7,Paquets
Femme,48,Célibataire,"15,600 à 20,800",Non,0,0,
Femme,34,Marrié,"2,600 à 5,200",Non,0,0,
Femme,28,Marrié,"5,200 à 10,400",Oui,10,4,Paquets
Homme,66,Marrié,,Non,0,0,
Homme,56,Marrié,"20,800 à 28,600",Non,0,0,
Homme,51,Marrié,"10,400 à 15,600",Non,0,0,
Femme,63,Marrié,"2,600 à 5,200",Non,0,0,
Homme,44,Marrié,"28,600 à 36,400",Non,0,0,
Femme,45,Marrié,"10,400 à 15,600",Non,0,0,
Homme,55,Marrié,"10,400 à 15,600",Oui,20,20,Paquets
Femme,55,Marrié,"5,200 à 10,400",Non,0,0,
Femme,55,Marrié,,Non,0,0,
Femme,57,Marrié,"2,600 à 5,200",Non,0,0,
Homme,76,Marrié,"5,200 à 10,400",Non,0,0,
Femme,59,Marrié,"5,200 à 10,400",Non,0,0,
Femme,46,Marrié,"5,200 à 10,400",Non,0,0,
Femme,56,Marrié,"Sous 2,600",Non,0,0,
Homme,67,Marrié,"5,200 à 10,400",Non,0,0,
Femme,73,Célibataire,"10,400 à 15,600",Non,0,0,
Femme,82,Veuf,,Non,0,0,
Homme,75,Marrié,,Non,0,0,
Femme,41,Marrié,"5,200 à 10,400",Non,0,0,
Femme,40,Marrié,"15,600 à 20,800",Non,0,0,
Homme,37,Marrié,"15,600 à 20,800",Non,0,0,
Homme,53,Marrié,"20,800 à 28,600",Non,0,0,
