ID,Âge,Statut Marital,Revenus,Enfants,Adolescents,Date,Temps depuis dernier achat,Vins ($/2sem),Fruits ($/2sem),Viandes ($/2sem),Poisson ($/2sem),Sucreries ($/2sem),Joaillerie ($/2sem),Achats avec rabais,Achats web,Achats catalogues,Achats en magasin,Nombre de visite sites web (par mois)
5524,63,Célibataire,58138,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7
2174,66,Célibataire,46344,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5
4141,55,Conjoint de fait,71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4
6182,36,Conjoint de fait,26646,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6
5324,39,Marié,58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5
7446,53,Conjoint de fait,62513,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6
965,49,Divorcé,55635,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6
6177,35,Marié,33454,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8
4855,46,Conjoint de fait,30351,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9
5899,70,Conjoint de fait,5648,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20
1994,37,Marié,,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7
387,44,Marié,7500,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8
2125,61,Divorcé,63033,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2
8180,68,Divorcé,59354,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6
2569,33,Marié,17323,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8
2114,74,Célibataire,82800,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3
9736,40,Marié,41850,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8
4939,74,Conjoint de fait,37760,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7
6565,71,Marié,76995,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5
2278,35,Célibataire,33812,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6
9360,38,Marié,37040,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8
5376,41,Marié,2447,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1
1993,71,Marié,58607,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8
4047,66,Marié,65324,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4
1409,69,Conjoint de fait,40689,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8
7892,51,Célibataire,18589,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7
2404,44,Marié,53359,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7
5255,34,Célibataire,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1
9422,31,Marié,38360,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3
1966,55,Marié,84618,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2
6864,31,Divorcé,10979,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5
3033,57,Conjoint de fait,38620,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3
5710,50,Conjoint de fait,40548,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5
7373,68,Divorcé,46610,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6
8755,74,Marié,68657,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7
10738,69,Célibataire,49389,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7
4339,50,Marié,67353,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2
10755,44,Marié,23718,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7
8595,47,Veuf,42429,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5
2968,77,Divorcé,48948,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6
8601,40,Marié,80011,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4
503,35,Marié,20559,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8
8430,63,Conjoint de fait,21994,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5
7281,61,Célibataire,,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2
2139,45,Marié,7500,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5
1371,44,Célibataire,79941,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1
9909,24,Marié,7500,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9
7286,52,Conjoint de fait,41728,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10
7244,69,Célibataire,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6
6566,66,Marié,72550,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8
8614,63,Veuf,65486,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2
4114,56,Marié,79143,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3
1331,43,Célibataire,35790,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7
2225,43,Divorcé,82582,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1
9381,42,Marié,66373,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3
6260,65,Conjoint de fait,82384,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1
10383,54,Divorcé,70287,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3
7437,32,Célibataire,27938,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3
8557,38,Célibataire,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6
8375,52,Marié,55954,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7
6853,38,Célibataire,75777,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1
3076,45,Conjoint de fait,66653,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3
1012,68,Célibataire,61823,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7
6518,69,Veuf,67680,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5
4137,72,Conjoint de fait,70666,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4
8082,49,Marié,25721,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7
1386,53,Conjoint de fait,32474,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7
9369,41,Célibataire,88194,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5
4477,62,Conjoint de fait,69096,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4
1357,50,Conjoint de fait,74854,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5
1402,66,Marié,66991,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3
10629,47,Marié,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8
6312,61,Marié,65031,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7
8132,45,Marié,60631,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7
1050,68,Marié,28332,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2
