Âge,Poids (kg),Grandeur (cm),Genre
21,65.6,174,Homme
23,71.8,175.3,Homme
28,80.7,193.5,Homme
23,72.6,186.5,Homme
22,78.8,187.2,Homme
21,74.8,181.5,Homme
26,86.4,184,Homme
27,78.4,184.5,Homme
23,62,175,Homme
21,81.6,184,Homme
23,76.6,180,Homme
22,83.6,177.8,Homme
20,90,192,Homme
26,74.6,176,Homme
23,71,174,Homme
22,79.6,184,Homme
30,93.8,192.7,Homme
22,70,171.5,Homme
29,72.4,173,Homme
22,85.9,176,Homme
22,78.8,176,Homme
20,77.8,180.5,Homme
22,66.2,172.7,Homme
24,86.4,176,Homme
26,81.8,173.5,Homme
24,89.6,178,Homme
21,82.8,180.3,Homme
24,76.4,180.3,Homme
23,63.2,164.5,Homme
19,60.9,173,Homme
23,74.8,183.5,Homme
25,70,175.5,Homme
23,72.4,188,Homme
23,84.1,189.2,Homme
23,69.1,172.8,Homme
20,59.5,170,Homme
22,67.2,182,Homme
24,61.3,170,Homme
22,68.6,177.8,Homme
24,80.1,184.2,Homme
21,87.8,186.7,Homme
23,84.7,171.4,Homme
24,73.4,172.7,Homme
35,72.1,175.3,Homme
29,82.6,180.3,Homme
25,88.7,182.9,Homme
23,84.1,188,Homme
20,94.1,177.2,Homme
25,74.9,172.1,Homme
29,59.1,167,Homme
23,75.6,169.5,Homme
23,86.2,174,Homme
36,75.3,172.7,Homme
25,87.1,182.2,Homme
24,55.2,164.1,Homme
20,57,163,Homme
52,61.4,171.5,Homme
50,76.8,184.2,Homme
46,86.8,174,Homme
51,72.2,174,Homme
28,71.6,177,Homme
48,84.8,186,Homme
35,68.2,167,Homme
23,66.1,171.8,Homme
23,72,182,Homme
62,64.6,167,Homme
21,74.8,177.8,Homme
26,70,164.5,Homme
33,101.6,192,Homme
36,63.2,175.5,Homme
41,79.1,171.2,Homme
40,78.9,181.6,Homme
27,67.7,167.4,Homme
27,66,181.1,Homme
23,68.2,177,Homme
31,63.9,174.5,Homme
26,72,177.5,Homme
23,56.8,170.5,Homme
24,74.5,182.4,Homme
24,90.9,197.1,Homme
34,93,180.1,Homme
21,80.9,175.5,Homme
25,72.7,180.6,Homme
34,68,184.4,Homme
31,70.9,175.5,Homme
40,72.5,180.6,Homme
21,72.5,177,Homme
33,83.4,177.1,Homme
25,75.5,181.6,Homme
29,73,176.5,Homme
27,70.2,175,Homme
44,73.4,174,Homme
26,70.5,165.1,Homme
22,68.9,177,Homme
37,102.3,192,Homme
38,68.4,176.5,Homme
20,65.9,169.4,Homme
21,75.7,182.1,Homme
24,84.5,179.8,Homme
45,87.7,175.3,Homme
25,86.4,184.9,Homme
22,73.2,177.3,Homme
29,53.9,167.4,Homme
37,72,178.1,Homme
20,55.5,168.9,Homme
20,58.4,157.2,Homme
32,83.2,180.3,Homme
23,72.7,170.2,Homme
25,64.1,177.8,Homme
27,72.3,172.7,Homme
21,65,165.1,Homme
27,86.4,186.7,Homme
25,65,165.1,Homme
38,88.6,174,Homme
44,84.1,175.3,Homme
27,66.8,185.4,Homme
37,75.5,177.8,Homme
28,93.2,180.3,Homme
33,82.7,180.3,Homme
25,58,177.8,Homme
21,79.5,177.8,Homme
30,78.6,177.8,Homme
26,71.8,177.8,Homme
27,116.4,177.8,Homme
33,72.2,163.8,Homme
29,83.6,188,Homme
27,85.5,198.1,Homme
34,90.9,175.3,Homme
42,85.9,166.4,Homme
29,89.1,190.5,Homme
41,75,166.4,Homme
43,77.7,177.8,Homme
43,86.4,179.7,Homme
29,90.9,172.7,Homme
27,73.6,190.5,Homme
62,76.4,185.4,Homme
33,69.1,168.9,Homme
45,84.5,167.6,Homme
30,64.5,175.3,Homme
20,69.1,170.2,Homme
22,108.6,190.5,Homme
51,86.4,177.8,Homme
34,80.9,190.5,Homme
44,87.7,177.8,Homme
46,94.5,184.2,Homme
34,80.2,176.5,Homme
32,72,177.8,Homme
28,71.4,180.3,Homme
31,72.7,171.4,Homme
29,84.1,172.7,Homme
42,76.8,172.7,Homme
29,63.6,177.8,Homme
31,80.9,177.8,Homme
30,80.9,182.9,Homme
27,85.5,170.2,Homme
25,68.6,167.6,Homme
24,67.7,175.3,Homme
33,66.4,165.1,Homme
45,102.3,185.4,Homme
37,70.5,181.6,Homme
