Position,Parties,Buts,Aides,Points,+/-,Minutes de punition,Tirs au but,Buts vainqueurs,Buts AN,Aides AN,Mises en échec,Tirs blockés
AG,81,51,38,89,7,40,338,5,18,10,223,41
C,82,50,55,105,2,52,231,5,16,13,57,26
C,82,47,41,88,19,34,286,8,10,9,59,53
C,82,45,53,98,4,37,234,6,19,21,72,40
AD,81,44,66,110,2,22,341,7,9,21,21,18
AD,80,41,28,69,3,20,295,8,8,6,27,25
AD,82,41,87,128,24,62,246,8,15,33,44,31
C,82,41,58,99,20,34,365,6,12,25,54,31
C,79,41,51,92,27,28,191,7,20,15,31,43
C,78,41,75,116,3,20,240,9,9,24,39,30
AD,82,41,35,76,0,15,220,3,13,11,35,26
AG,82,40,36,76,13,26,227,4,6,5,105,47
AG,82,40,23,63,0,36,268,7,8,8,31,24
AD,75,38,26,64,-4,22,188,6,12,9,69,61
C,82,38,46,84,8,38,199,6,12,11,54,54
AD,66,38,43,81,6,32,235,4,17,16,57,25
C,68,37,36,73,-9,12,251,5,12,8,28,60
AG,82,36,63,99,18,24,245,8,6,21,12,12
AG,79,36,64,100,15,96,231,9,10,24,46,19
AG,82,36,34,70,-24,30,253,6,17,18,42,26
C,82,35,46,81,2,40,235,5,9,14,42,44
C,79,35,65,100,18,36,220,3,12,17,85,43
C,82,35,61,96,-3,8,206,5,13,18,28,61
AG,77,35,39,74,5,18,176,5,11,4,53,64
C,78,34,48,82,7,12,211,5,12,11,36,24
AG,73,34,41,75,17,51,243,9,10,17,120,64
AG,80,34,43,77,14,62,207,2,11,13,104,13
AG,82,34,32,66,-7,18,227,5,11,8,9,21
AG,58,34,14,48,12,26,195,7,3,1,18,23
C,80,33,43,76,2,34,223,5,8,9,40,60
AD,82,33,19,52,10,49,302,4,4,3,126,31
AD,77,33,40,73,17,27,199,4,6,14,72,71
C,82,33,47,80,17,18,334,8,9,18,74,47
AD,76,33,35,68,8,22,275,5,12,10,88,40
C,65,32,47,79,23,30,205,3,9,18,43,60
C,76,32,41,73,-6,75,287,4,7,8,80,38
AD,74,31,56,87,13,54,193,4,16,17,59,41
C,73,31,39,70,-3,8,172,1,6,8,28,40
AG,75,30,26,56,-4,153,268,1,5,6,173,25
AG,82,30,62,92,-14,40,226,5,11,23,57,45
C,82,30,44,74,-12,47,236,5,11,12,134,66
C,76,30,24,54,-9,38,216,4,3,8,33,26
AG,82,30,53,83,25,26,243,7,3,21,65,34
AG,78,30,36,66,9,55,250,2,6,4,99,40
AD,82,30,20,50,-24,42,245,3,15,8,70,44
C,80,29,18,47,15,28,163,4,1,7,50,32
AD,70,29,43,72,22,54,209,7,7,16,60,83
AG,74,28,33,61,-2,26,229,5,10,6,49,71
AG,79,28,24,52,4,57,201,2,7,5,159,49
AD,82,28,42,70,-6,8,195,4,8,9,33,42
C,82,28,49,77,22,12,234,5,6,16,31,36
AG,82,28,41,69,-13,26,208,3,8,18,69,40
C,82,28,23,51,20,58,204,5,10,6,103,51
AD,64,28,22,50,8,26,217,4,7,3,100,29
C,82,28,44,72,20,80,203,2,4,7,53,39
C,71,28,38,66,3,12,144,7,10,12,42,51
C,77,28,54,82,-11,26,303,2,8,18,70,51
AG,79,28,59,87,14,23,191,8,6,12,14,17
AG,68,27,15,42,2,18,156,4,8,3,45,24
C,82,27,34,61,16,64,174,5,2,7,115,52
AD,81,27,51,78,30,20,182,5,9,17,82,39
C,82,27,34,61,-4,33,227,3,7,11,62,63
AD,82,27,20,47,25,60,230,5,3,4,214,40
AD,74,27,23,50,-9,42,224,2,11,7,98,35
C,78,27,26,53,14,56,189,2,8,3,142,71
AD,82,27,55,82,-19,28,215,10,12,24,12,18
AG,66,27,21,48,-10,18,167,4,8,5,34,16
C,81,27,43,70,-6,22,204,3,6,12,65,52
C,78,26,30,56,-9,29,159,5,5,6,54,38
AD,69,26,30,56,-2,22,209,3,6,9,14,22
C,82,26,68,94,22,22,233,5,3,18,29,43
AG,82,25,34,59,2,52,278,6,5,11,98,22
AD,67,25,23,48,-8,30,198,1,7,6,67,23
AD,69,25,29,54,5,36,143,4,6,8,133,55
AG,80,25,33,58,21,34,195,4,4,4,77,30
C,82,25,28,53,20,28,181,3,2,6,51,55
C,82,24,32,56,1,16,169,5,7,7,51,55
AD,73,24,19,43,-9,28,163,4,3,8,38,43
C,82,24,25,49,-4,40,182,3,4,4,65,45
AG,81,24,15,39,-10,38,208,1,2,6,139,74
AD,82,24,23,47,20,27,161,4,1,3,47,32
AG,80,23,24,47,-9,12,195,3,5,1,52,25
AD,77,23,13,36,8,8,161,1,3,0,43,34
AD,82,23,30,53,-4,30,184,3,6,9,94,20
AD,82,23,30,53,-4,44,237,5,9,5,55,32
AD,57,23,23,46,3,46,112,1,7,7,52,13
C,82,23,26,49,-5,26,188,2,2,8,99,67
C,80,22,52,74,2,30,169,5,7,18,54,30
C,82,22,63,85,9,24,229,4,2,21,28,19
AG,66,22,18,40,-13,36,191,5,4,4,119,20
C,81,22,30,52,-7,34,215,6,7,8,41,28
AD,72,22,29,51,-17,24,180,3,9,3,150,29
C,81,22,38,60,-20,30,156,3,1,18,59,66
AD,81,22,24,46,13,24,139,5,1,1,53,25
C,78,22,19,41,19,16,120,3,1,3,88,35
AD,63,22,18,40,11,128,130,2,3,2,200,52
C,78,22,14,36,-19,71,213,3,3,0,225,44
AG,80,22,26,48,9,66,130,5,5,4,83,30
AD,73,22,16,38,-1,32,123,1,8,7,85,31
AD,81,22,38,60,1,12,204,3,2,10,36,23
AD,82,22,43,65,-10,16,180,1,2,13,38,47
AG,71,22,23,45,-10,75,214,3,4,6,174,26
AG,62,21,16,37,2,15,158,4,2,5,27,16
AD,71,21,20,41,16,65,144,4,0,0,102,39
AD,76,21,17,38,11,20,205,2,4,4,77,33
C,82,21,55,76,30,12,167,1,8,16,35,23
AG,64,21,17,38,-10,13,119,1,7,5,60,20
AG,73,21,26,47,11,36,131,4,3,3,76,39
C,76,21,51,72,7,50,193,3,8,15,46,20
AG,81,21,21,42,-9,28,214,5,7,7,87,38
C,68,21,51,72,-25,89,187,5,9,17,54,33
C,77,21,26,47,34,52,205,4,1,1,52,26
AG,78,20,46,66,-16,25,210,2,4,14,17,29
C,81,20,53,73,7,16,139,4,6,10,28,24
AD,82,20,71,91,0,60,231,3,2,31,81,53
C,73,20,13,33,22,36,111,3,0,0,129,68
D,82,20,52,72,24,14,223,5,3,18,61,114
AG,73,20,23,43,14,32,130,3,3,3,60,36
AD,78,20,24,44,12,27,174,3,1,2,92,19
AD,74,20,32,52,13,8,180,6,3,3,92,40
C,78,20,37,57,-8,20,145,3,6,10,13,46
AD,82,20,17,37,0,62,189,3,0,5,123,26
C,78,19,16,35,-1,31,150,2,1,2,77,51
C,82,19,20,39,25,34,123,5,0,1,94,49
AD,72,19,22,41,-19,34,159,4,9,12,62,34
AD,74,19,34,53,13,14,178,1,4,10,39,33
C,63,19,28,47,17,71,135,3,3,3,128,36
C,81,19,16,35,-3,64,110,2,4,3,76,36
AG,74,19,14,33,-2,14,132,3,7,1,32,33
AD,78,19,18,37,-6,17,160,5,7,5,36,35
C,71,19,36,55,-2,12,156,2,3,8,58,15
C,66,19,8,27,6,22,128,3,0,0,63,55
C,80,19,27,46,-25,20,120,3,5,7,66,38
C,73,18,6,24,-14,38,123,4,7,2,145,50
AD,69,18,19,37,-3,26,197,2,6,6,150,34
AD,72,18,17,35,10,24,141,4,0,0,119,59
C,81,18,35,53,-8,26,190,3,3,13,55,23
AG,80,18,9,27,-15,25,147,1,3,2,128,41
C,69,18,25,43,-13,27,194,2,6,7,82,38
D,82,18,21,39,0,54,259,2,2,5,160,91
C,82,18,24,42,-5,24,122,3,8,5,78,71
C,82,18,22,40,22,45,153,2,2,3,88,23
C,82,18,44,62,-5,46,179,3,3,15,25,56
AG,81,18,10,28,1,8,156,4,1,1,87,35
AD,82,17,39,56,-1,36,130,4,2,18,66,16
AG,81,17,16,33,-9,20,162,2,2,1,68,52
C,69,17,30,47,0,24,160,3,3,8,53,44
AG,71,17,23,40,13,58,156,3,6,7,182,19
AD,80,17,13,30,10,23,100,1,0,0,88,29
AG,81,17,18,35,-6,21,154,4,1,3,79,34
D,79,17,43,60,-6,34,160,3,4,14,100,115
C,81,17,18,35,27,18,118,1,3,0,24,70
AD,79,17,13,30,-16,99,157,2,5,3,137,28
C,72,17,37,54,3,40,159,5,4,8,111,31
AG,73,17,18,35,12,44,141,2,2,2,175,51
D,78,17,57,74,39,69,221,2,3,18,58,144
C,72,17,14,31,19,16,78,4,0,0,12,34
D,82,16,67,83,13,34,300,6,7,21,90,105
AG,64,16,20,36,-12,26,108,1,4,7,38,13
AD,64,16,18,34,-26,10,141,1,4,5,28,19
C,73,16,35,51,8,20,90,4,3,12,17,14
AG,82,16,21,37,-6,28,161,3,4,6,74,41
AD,73,16,15,31,-4,4,134,3,1,1,18,20
AG,65,16,18,34,24,26,132,4,0,0,57,22
D,65,16,40,56,13,48,206,3,2,17,116,111
C,73,16,28,44,-2,43,184,5,4,9,85,13
AG,82,16,40,56,8,21,126,4,2,12,19,32
C,79,16,38,54,-8,24,189,5,2,18,46,40
C,72,16,23,39,-4,14,152,3,3,2,69,41
C,66,16,16,32,-8,31,118,3,4,5,33,59
AG,77,16,22,38,6,42,170,3,1,2,158,70
C,78,15,27,42,-9,38,116,1,4,12,22,29
AG,82,15,10,25,1,38,146,5,0,0,199,46
AD,75,15,15,30,20,23,111,3,1,1,109,52
C,81,15,15,30,-3,54,114,1,1,2,103,65
C,72,15,20,35,-2,14,195,3,1,2,50,51
