ID,Âge,Emploi,Revenu,Genre,Logis,Degré de satisfaction
3,De 18 à 24 ans,Temps plein,De 40 000 $ à 59 999 $,Féminin,Locataire,6
5,De 45 à 54 ans,Temps plein,160 000 $ et plus,Masculin,Propriétaire,10
6,De 25 à 34 ans,Temps plein,De 40 000 $ à 59 999 $,Féminin,Locataire,9
7,De 18 à 24 ans,Étudiant,Abstention,Féminin,Locataire,8
8,De 25 à 34 ans,Temps plein,De 100 000 $ à 119 999 $,Féminin,Locataire,10
9,De 35 à 44 ans,Temps plein,160 000 $ et plus,Masculin,Propriétaire,6
10,De 65 à 74 ans,Abstention,De 40 000 $ à 59 999 $,Féminin,Propriétaire,8
11,De 55 à 64 ans,Retraité,De 20 000 $ à 39 999 $,Masculin,Propriétaire,7
13,De 25 à 34 ans,En recherche d’emploi,De 60 000 $ à 79 999 $,Féminin,Locataire,9
14,De 45 à 54 ans,Temps plein,De 100 000 $ à 119 999 $,Féminin,Propriétaire,8
15,De 25 à 34 ans,Étudiant,De 20 000 $ à 39 999 $,Féminin,Locataire,8
16,De 65 à 74 ans,Retraité,De 60 000 $ à 79 999 $,Masculin,Propriétaire,7
17,De 65 à 74 ans,Retraité,De 80 000 $ à 99 999 $,Féminin,Propriétaire,8
19,De 25 à 34 ans,Temps plein,De 80 000 $ à 99 999 $,Féminin,Locataire,9
20,De 25 à 34 ans,Temps plein,De 100 000 $ à 119 999 $,Féminin,Locataire,6
21,De 35 à 44 ans,Temps plein,De 100 000 $ à 119 999 $,Masculin,Propriétaire,8
23,De 35 à 44 ans,Temps plein,Abstention,Masculin,Propriétaire,10
24,De 25 à 34 ans,Temps plein,De 80 000 $ à 99 999 $,Féminin,Propriétaire,7
25,De 25 à 34 ans,Étudiant,19 999 $ et moins,Féminin,Locataire,8
26,De 45 à 54 ans,Travailleur autonome,De 60 000 $ à 79 999 $,Féminin,Locataire,8
27,De 35 à 44 ans,Temps plein,De 100 000 $ à 119 999 $,Masculin,Propriétaire,8
28,De 35 à 44 ans,Abstention,De 40 000 $ à 59 999 $,Féminin,Locataire,6
29,De 25 à 34 ans,Temps plein,De 40 000 $ à 59 999 $,Masculin,Locataire,6
30,De 55 à 64 ans,Retraité,De 100 000 $ à 119 999 $,Masculin,Propriétaire,7
31,De 18 à 24 ans,temps partiel,De 100 000 $ à 119 999 $,Féminin,Locataire,9
33,De 55 à 64 ans,Travailleur autonome,De 120 000 $ à 139 999 $,Féminin,Propriétaire,8
34,De 45 à 54 ans,Temps plein,De 20 000 $ à 39 999 $,Masculin,Locataire,8
35,De 35 à 44 ans,Temps plein,De 80 000 $ à 99 999 $,Masculin,Propriétaire,8
37,De 65 à 74 ans,Travailleur autonome,De 80 000 $ à 99 999 $,Masculin,Propriétaire,9
40,De 55 à 64 ans,Retraité,160 000 $ et plus,Féminin,Propriétaire,6
41,De 45 à 54 ans,temps partiel,De 40 000 $ à 59 999 $,Féminin,Locataire,0
42,De 65 à 74 ans,Retraité,De 20 000 $ à 39 999 $,Féminin,Locataire,7
43,De 18 à 24 ans,Temps plein,De 80 000 $ à 99 999 $,Féminin,Propriétaire,8
44,De 25 à 34 ans,Temps plein,De 40 000 $ à 59 999 $,Féminin,Locataire,8
45,De 55 à 64 ans,Retraité,De 40 000 $ à 59 999 $,Masculin,Locataire,8
67,De 65 à 74 ans,Retraité,De 60 000 $ à 79 999 $,Féminin,Propriétaire,8
69,De 18 à 24 ans,temps partiel,De 20 000 $ à 39 999 $,Masculin,Propriétaire,8
70,De 18 à 24 ans,temps partiel,160 000 $ et plus,Masculin,Locataire,8
71,De 25 à 34 ans,Temps plein,160 000 $ et plus,Féminin,Propriétaire,8
72,De 55 à 64 ans,Retraité,Abstention,Féminin,Locataire,3
73,De 65 à 74 ans,Retraité,De 20 000 $ à 39 999 $,Masculin,Locataire,9
74,De 18 à 24 ans,temps partiel,19 999 $ et moins,Féminin,Propriétaire,7
75,De 55 à 64 ans,Retraité,De 100 000 $ à 119 999 $,Féminin,Propriétaire,9
76,De 55 à 64 ans,Retraité,Abstention,Féminin,Propriétaire,6
77,De 65 à 74 ans,Retraité,De 40 000 $ à 59 999 $,Féminin,Locataire,8
78,De 65 à 74 ans,Retraité,De 40 000 $ à 59 999 $,Masculin,Locataire,7
79,De 65 à 74 ans,Retraité,De 60 000 $ à 79 999 $,Féminin,Locataire,8
80,De 25 à 34 ans,Temps plein,De 40 000 $ à 59 999 $,Féminin,Locataire,7
81,De 35 à 44 ans,temps partiel,De 60 000 $ à 79 999 $,Féminin,Propriétaire,6
83,De 25 à 34 ans,Temps plein,De 120 000 $ à 139 999 $,Masculin,Locataire,9
84,De 45 à 54 ans,Temps plein,De 120 000 $ à 139 999 $,Masculin,Propriétaire,7
87,De 65 à 74 ans,Retraité,Abstention,Féminin,Propriétaire,9
88,De 55 à 64 ans,Temps plein,Abstention,Masculin,Locataire,5
89,De 45 à 54 ans,Au foyer,Abstention,Féminin,Locataire,10
90,De 25 à 34 ans,Temps plein,De 80 000 $ à 99 999 $,Féminin,Locataire,8
91,De 35 à 44 ans,temps partiel,De 40 000 $ à 59 999 $,Masculin,Locataire,7
94,De 18 à 24 ans,Temps plein,De 60 000 $ à 79 999 $,Féminin,Locataire,7
95,De 55 à 64 ans,Retraité,De 80 000 $ à 99 999 $,Féminin,Propriétaire,8
96,De 65 à 74 ans,Retraité,De 20 000 $ à 39 999 $,Masculin,Propriétaire,6
97,De 65 à 74 ans,Travailleur autonome,160 000 $ et plus,Féminin,Propriétaire,6
100,De 18 à 24 ans,Temps plein,Abstention,Féminin,Locataire,10
102,De 45 à 54 ans,Temps plein,De 40 000 $ à 59 999 $,Féminin,Locataire,6
