Nombre de personnes,Facture ($),Pourboire ($),Pourboire (%)
1,17.99,2,11.11728738
1,26.05,4,15.35508637
5,79.49,14.3082,18
3,32.69,5.5,16.82471704
1,29.97,6,20.02002002
2,23.91,7.5,31.36762861
1,18.18,3.06,16.83168317
3,41.23,8.5,20.61605627
2,25.19,8.5,33.74354903
1,19.22,3,15.60874089
1,20.6,5,24.27184466
1,30.15,3.5,11.60862355
1,31.03,3,9.668063165
7,124.44,22.3992,18
5,69.4,18,25.93659942
1,23.45,8.5,36.24733475
1,19.75,2.5,12.65822785
3,39.88,7.5,18.80641926
1,21.19,5,23.59603587
1,17.83,2.25,12.61918116
6,91.43,16.4574,18
6,78.18,14.0724,18
3,53.04,7.57,14.27224736
1,26.75,0,0
1,15.23,2.81,18.45042679
3,28.05,3,10.69518717
1,10.99,2,18.19836215
5,71.47,12.8646,18
1,24.71,3,12.14083367
4,66.48,16,24.06738869
4,53.39,7,13.11106949
3,38.88,2.9,7.458847737
5,60.17,7,11.6337045
9,124.9,22.482,18
1,24.82,6,24.17405318
3,35.71,6,16.80201624
5,75.12,13.5216,18
5,-100,0,0
1,8.31,1.5,18.05054152
1,14.57,7,48.04392588
1,20.07,3,14.94768311
4,64.25,5.5,8.560311284
1,22.38,3.25,14.52189455
2,30.21,6,19.86097319
2,23.27,2,8.594757198
2,22.36,3.5,15.6529517
1,18.65,6,32.17158177
2,32.33,3.5,10.82585834
2,34.35,7.32,21.31004367
1,23.78,9.5,39.94953743
1,19.68,3,15.24390244
2,20.82,3.5,16.81075889
7,96.11,17.2998,18
1,15.14,2.5,16.51254954
2,36.77,4,10.87843351
5,59.97,9,15.00750375
2,27.33,4,14.63593121
3,30.99,3.25,10.48725395
3,35.12,6,17.08428246
8,117.15,21.087,18
9,144.18,25.9524,18
1,21.37,6,28.0767431
3,32.45,5.5,16.94915254
1,25.05,4,15.96806387
3,42.51,6.5,15.29051988
1,10.91,3,27.49770852
2,33.72,7.75,22.98339265
1,25.21,6,23.80007933
1,19.08,4,20.96436059
9,141.76,25.5168,18
8,93.37,16.8066,18
7,101.26,18.2268,18
2,42.81,5,11.67951413
1,4.98,0.5,10.04016064
2,28.17,7.5,26.62406816
1,5.55,0.75,13.51351351
5,60.47,15,24.80568877
1,24.67,6,24.3210377
1,17.77,0.75,4.220596511
1,1.99,6,301.5075377
1,13.67,3.5,25.60351134
2,23.25,7,30.10752688
3,31.38,8,25.49394519
3,42.55,6,14.10105758
2,39.13,6,15.33350371
2,38.77,4,10.31725561
1,10,3.5,35
4,72.84,11.5,15.78802856
2,29.07,7,24.07980736
1,14.83,1.5,10.1146325
1,18.31,1,5.46149645
4,64.93,7,10.78084091
1,25.04,6,23.96166134
4,76.27,13,17.04470958
1,24.21,3.75,15.48946716
1,34.05,8.5,24.96328928
9,115.39,20.7702,18
