coude_dia (cm),poignet_dia (cm),genou_dia (cm),cheville_dia (cm),épaule_tour (cm),pec_tour (cm),taille_tour (cm),abdomen_tour (cm),hanche_tour (cm),bicept_tour (cm),avantbras_tour (cm),genou_tour (cm),cheville_tour (cm),poignet_tour (cm),Âge,Poids (kg),Grandeur (cm),Genre
13.1,10.4,18.8,14.1,106.2,89.5,71.5,74.5,93.5,32.5,26,34.5,23.5,16.5,21,65.6,174,Homme
14,11.8,20.6,15.1,110.5,97,79,86.5,94.8,34.4,28,36.5,24.5,17,23,71.8,175.3,Homme
13.9,10.9,19.7,14.1,115.1,97.5,83.2,82.9,95,33.4,28.8,37,21.9,16.9,28,80.7,193.5,Homme
13.9,11.2,20.9,15,104.5,97,77.8,78.8,94,31,26.2,37,23,16.6,23,72.6,186.5,Homme
15.2,11.6,20.7,14.9,107.5,97.5,80,82.5,98.5,32,28.4,37.7,24.4,18,22,78.8,187.2,Homme
14,11.5,18.8,13.9,119.8,99.9,82.5,80.1,95.3,33,28,36.6,23.5,16.9,21,74.8,181.5,Homme
16.1,12.5,20.8,15.6,123.5,106.9,82,84,101,42.4,32.3,40.1,23.6,18.8,26,86.4,184,Homme
15.1,11.9,21,14.6,120.4,102.5,76.8,80.5,98,34.1,28,39.2,22.5,18,27,78.4,184.5,Homme
14.1,11.2,18.9,13.2,111,91,68.5,69,89.5,33,26,35.5,22,16.5,23,62,175,Homme
15.6,12,21.1,15,119.5,93.5,77.5,81.5,99.8,36.5,29.2,38.3,22.2,16.9,21,81.6,184,Homme
13.4,10.4,19.4,14.5,117.1,97.7,81.9,81,98.4,34.6,27.9,38.9,23.2,16.2,23,76.6,180,Homme
15,11.7,20.9,16,123.5,99.5,82.6,82.5,95,38.5,30.4,39,24.3,18.2,22,83.6,177.8,Homme
16.1,11.3,21.5,15.4,116.5,103,85,94.5,103,33.5,29,40.5,26,18,20,90,192,Homme
13.3,10.3,18.8,13.2,113,99.6,85.6,89.2,98,35.6,29,35.8,21.5,16.6,26,74.6,176,Homme
14.9,10.6,17.8,14,107.5,101.5,78,89.5,95,36,29,34.5,22,16.5,23,71,174,Homme
13.7,11.1,20.7,14,112,104.1,82,84,97,34.5,29.5,39,24,17.5,22,79.6,184,Homme
15.6,11.9,21.2,16,112.2,100,88.3,93.5,105,37,28.8,40.9,24.2,17.8,30,93.8,192.7,Homme
14.8,11.2,19.7,14.7,120,93.8,73.6,74.9,90.1,31.2,26.9,36.4,22,17.1,22,70,171.5,Homme
14.9,12.2,20.8,14.8,109,98.5,78.5,86,94.5,34.5,28.5,38,23,18.5,29,72.4,173,Homme
15.4,10.9,20.7,15.5,118.5,104,87.3,88,101.1,37,30.5,39.8,26.5,18.8,22,85.9,176,Homme
13.1,11.1,19.2,13.9,116,100,92,91,98,32,27.6,37.5,21,17.3,22,78.8,176,Homme
15,11.5,20.4,14.4,111,100,80,83.7,99.5,37,30,37.5,23,18,20,77.8,180.5,Homme
14.6,10.8,18.6,13.8,117.7,99,74.5,75.9,92.2,31.2,26.9,36.2,23.5,16,22,66.2,172.7,Homme
14.3,11.2,19.8,14.1,123.9,101,90.6,89.6,101.2,37,28.3,35.4,22.9,17,24,86.4,176,Homme
15.2,11.6,19.4,14.7,120.6,101.6,81.4,81.6,98.8,39.4,31.9,38.5,22.8,18.2,26,81.8,173.5,Homme
16.4,13.3,22.2,14.9,129.5,108.8,89.5,89.5,106,37.5,30.1,39.9,23.5,19,24,89.6,178,Homme
14.6,10.5,20.2,15.3,115,100,85,94.5,105,35.5,28.5,38,23.5,16.7,21,82.8,180.3,Homme
14.6,11.1,20.8,14.5,116,88,73.5,77.7,97,32.5,27.8,39,23.5,17.8,24,76.4,180.3,Homme
13,10.2,18.9,13.2,107.8,88.7,75.8,83,89,31.2,26.5,37,21.5,16.5,23,63.2,164.5,Homme
13.3,10.1,18.6,13.2,100.2,84.5,74,81,93.5,27.5,24.8,34,21,15.6,19,60.9,173,Homme
14.9,11,19.1,15.8,113,93.6,77.5,82.1,95,32.8,26.2,37.6,21,16.6,23,74.8,183.5,Homme
14.3,11.2,18.2,14,117.9,105,74,72,90,34.1,28.6,36.2,22.4,17.2,25,70,175.5,Homme
15.2,11.4,21.2,15.1,112.5,90.9,74,78.8,96.4,29.8,27,36.4,22.9,17,23,72.4,188,Homme
15.5,11.3,20.9,15,110.5,91.2,82,89.5,100,32.8,28,40.7,24.3,17.2,23,84.1,189.2,Homme
13.6,10.8,18.8,12.9,112,98.4,73,83,95.4,36.4,27.5,37.2,21.8,16.9,23,69.1,172.8,Homme
13.3,10.8,18.6,14,104,85,70.5,84,90,29,26,36,21.5,17,20,59.5,170,Homme
14.5,11.9,18.5,13,114.8,97.2,75,77.2,91.3,31,26.1,36.3,21,17,22,67.2,182,Homme
13.4,10.8,19,14,108,91.5,72.1,79.2,91,29.5,24.5,36.1,22.9,16,24,61.3,170,Homme
13.6,10.8,19,15.4,111.2,91.2,78.8,78,93.2,31.9,27.4,36.4,23,16.8,22,68.6,177.8,Homme
16.2,12,21,16.4,118.3,101.1,77.5,78,97,37.7,29.9,38.3,23.3,18.7,24,80.1,184.2,Homme
14.6,11.3,19.8,15.2,115.2,104.3,91.5,93.2,103.9,36.3,29,36.7,23.1,17.6,21,87.8,186.7,Homme
14.1,11.5,19.7,13.8,129.9,110.8,84.9,83,102.6,42.3,30.9,37,22.6,17.5,23,84.7,171.4,Homme
14.6,10.8,19.5,14.9,112.9,96.3,79.1,78.3,97.1,35.5,28.8,36.9,23.4,16.7,24,73.4,172.7,Homme
14.3,11.2,20,16,112.2,102.7,77.9,77.9,90.7,35.4,28.3,35.6,22.9,17,35,72.1,175.3,Homme
14.8,11.3,20.2,16,117.1,103.9,91.7,89.4,101.8,35.7,29.4,37.7,22.2,17.9,29,82.6,180.3,Homme
15.9,12.8,22.4,16.3,118.7,105.6,86.6,87.3,103.9,37.8,29.7,39,24.3,18.9,25,88.7,182.9,Homme
15.1,10.6,20,15.3,109.2,95.8,84.7,84,101.4,35,28.5,38.4,23.2,16.8,23,84.1,188,Homme
15.6,12,20.7,16.5,128.1,111.2,90.3,93.5,108.7,40.2,32.4,39.2,25.7,17.7,20,94.1,177.2,Homme
14.2,10.2,18,14.4,113.3,100,79.7,87.1,98.4,36.3,28.6,34.5,21.4,16.3,25,74.9,172.1,Homme
14.2,10.6,17.3,13.4,108.4,91.6,73.1,75.4,86.5,30.8,26.1,31.7,20.3,15.8,29,59.1,167,Homme
