Lot #,Fournisseur,Années,Poids nominal (tonnes),%-McIntosh,%-Spartan,%-Empire,%-Cortland
2012E1009,E,2012,10,0,0,0,100
2012E1015,E,2012,10,0,0,0,100
2012E1016,E,2012,10,100,0,0,100
2012E1022,E,2012,10,0,0,0,100
2012E1030,E,2012,10,0,0,0,100
2013E1005,E,2013,10,0,0,0,100
2013E1011,E,2013,10,0,0,0,100
2013E1023,E,2013,10,0,0,0,100
2013E1031,E,2013,10,0,0,0,100
2014E1005,E,2014,10,0,0,0,100
2014E1011,E,2014,10,0,0,0,100
2014E1023,E,2014,10,0,0,0,100
2014E1031,E,2014,10,0,0,0,100
2015E1005,E,2015,10,0,0,0,100
2015E1013,E,2015,10,0,0,0,100
2015E1021,E,2015,10,0,0,0,100
2015E1030,E,2015,10,0,0,0,100
2015E1038,E,2015,10,0,0,0,100
2015E1046,E,2015,10,0,0,0,100
2016E1005,E,2016,10,0,0,0,100
2016E1013,E,2016,10,0,0,0,100
2016E1021,E,2016,10,0,0,0,100
2016E1030,E,2016,10,0,0,0,100
2016E1038,E,2016,10,0,0,0,100
2016E1046,E,2016,10,0,0,0,100
2017E1005,E,2017,10,0,0,0,100
2017E1014,E,2017,10,0,0,0,100
2017E1022,E,2017,10,0,0,0,100
2017E1028,E,2017,10,0,0,0,100
2017E1034,E,2017,10,0,0,0,100
2017E1042,E,2017,10,0,0,0,100
2018E1005,E,2018,10,0,0,0,100
2018E1014,E,2018,10,0,0,0,100
2018E1022,E,2018,10,0,0,0,100
2018E1028,E,2018,10,0,0,0,100
2018E1034,E,2018,10,0,0,0,100
2018E1042,E,2018,10,0,0,0,100
2019E1004,E,2019,10,0,0,0,100
2019E1011,E,2019,10,0,0,0,100
2019E1016,E,2019,10,0,0,0,100
2019E1024,E,2019,10,0,0,0,100
2019E1030,E,2019,10,0,0,0,100
2019E1033,E,2019,10,0,0,0,100
2019E1038,E,2019,10,0,0,0,100
2019E1046,E,2019,10,0,0,0,100
2019E1054,E,2019,10,0,0,0,100
2020E1004,E,2020,10,0,0,0,100
2020E1011,E,2020,10,0,0,0,100
2020E1019,E,2020,10,0,0,0,100
2020E1027,E,2020,10,0,0,0,100
2020E1035,E,2020,10,0,0,0,100
2020E1040,E,2020,10,0,0,0,100
2020E1048,E,2020,10,0,0,0,100
2020E1056,E,2020,10,0,0,0,100
2020E1064,E,2020,10,0,0,0,100
2021E1005,E,2021,10,0,0,0,100
2021E1012,E,2021,10,0,0,0,100
2021E1018,E,2021,10,0,0,0,100
2021E1026,E,2021,10,0,0,0,100
2021E1034,E,2021,10,0,0,0,100
2021E1039,E,2021,10,0,0,0,100
2021E1044,E,2021,10,0,0,0,100
2021E1052,E,2021,10,0,0,0,100
2021E1060,E,2021,10,0,0,0,100
2021E1068,E,2021,10,0,0,0,100
2022E1005,E,2022,10,0,0,0,100
2022E1012,E,2022,10,0,0,0,100
2022E1021,E,2022,10,0,0,0,100
2022E1029,E,2022,10,0,0,0,100
2022E1037,E,2022,10,0,0,0,100
2022E1047,E,2022,10,0,0,0,100
2022E1055,E,2022,10,0,0,0,100
2022E1063,E,2022,10,0,0,0,100
2022E1071,E,2022,10,0,0,0,100
2022E1079,E,2022,10,0,0,0,100
2012F1010,F,2012,10,100,0,0,0
2012F1017,F,2012,10,100,0,0,0
2012F1023,F,2012,10,100,0,0,0
2012F1031,F,2012,10,100,0,0,0
2013F1006,F,2013,10,100,0,0,0
2013F1012,F,2013,10,100,0,0,0
2013F1024,F,2013,10,100,0,0,0
2013F1032,F,2013,10,100,0,0,0
2014F1006,F,2014,10,100,0,0,0
2014F1012,F,2014,10,100,0,0,0
2014F1024,F,2014,10,100,0,0,0
2014F1032,F,2014,10,100,0,0,0
2015F1006,F,2015,10,100,0,0,0
2015F1014,F,2015,10,100,0,0,0
2015F1022,F,2015,10,100,0,0,0
2015F1031,F,2015,10,100,0,0,0
2015F1039,F,2015,10,100,0,0,0
2016F1006,F,2016,10,100,0,0,0
2016F1014,F,2016,10,100,0,0,0
2016F1022,F,2016,10,100,0,0,0
2016F1031,F,2016,10,100,0,0,0
2016F1039,F,2016,10,100,0,0,0
2017F1006,F,2017,10,100,0,0,0
2017F1015,F,2017,10,100,0,0,0
2017F1023,F,2017,10,100,0,0,0
2017F1035,F,2017,10,100,0,0,0
2017F1043,F,2017,10,0,0,0,0
2018F1006,F,2018,10,100,0,0,0
2018F1015,F,2018,10,100,0,0,0
2018F1023,F,2018,10,100,0,0,0
2018F1035,F,2018,10,100,0,0,0
2018F1043,F,2018,10,100,0,0,0
2019F1005,F,2019,10,100,0,0,0
2019F1017,F,2019,10,100,0,0,0
2019F1025,F,2019,10,100,0,0,0
2019F1039,F,2019,10,100,0,0,0
2019F1047,F,2019,10,100,0,0,0
2019F1055,F,2019,10,100,0,0,0
2020F1005,F,2020,10,100,0,0,0
2020F1012,F,2020,10,100,0,0,0
2020F1020,F,2020,10,100,0,0,0
2020F1028,F,2020,10,100,0,0,0
2020F1041,F,2020,10,100,0,0,0
2020F1049,F,2020,10,100,0,0,0
2020F1057,F,2020,10,100,0,0,0
2020F1065,F,2020,10,100,0,0,0
2021F1006,F,2021,10,100,0,0,0
2021F1013,F,2021,10,100,0,0,0
2021F1019,F,2021,10,100,0,0,0
2021F1027,F,2021,10,100,0,0,0
2021F1035,F,2021,10,100,0,0,0
2021F1045,F,2021,10,100,0,0,0
2021F1053,F,2021,10,100,0,0,0
2021F1061,F,2021,10,100,0,0,0
2021F1069,F,2021,10,100,0,0,0
2022F1006,F,2022,10,100,0,0,0
2022F1013,F,2022,10,100,0,0,0
2022F1022,F,2022,10,100,0,0,0
2022F1030,F,2022,10,100,0,0,0
2022F1038,F,2022,10,100,0,0,0
2022F1048,F,2022,10,100,0,0,0
2022F1056,F,2022,10,100,0,0,0
2022F1064,F,2022,10,100,0,0,0
2022F1072,F,2022,10,100,0,0,0
2022F1080,F,2022,10,100,0,0,0
2012G1011,G,2012,10,0,100,0,0
2012G1024,G,2012,10,0,100,0,0
2012G1032,G,2012,10,0,100,0,0
2013G1013,G,2013,10,0,100,0,0
2013G1025,G,2013,10,0,100,0,0
2013G1033,G,2013,10,0,100,0,0
2014G1013,G,2014,10,0,100,0,0
2014G1025,G,2014,10,0,100,0,0
2014G1033,G,2014,10,0,100,0,0
2015G1007,G,2015,10,0,100,0,0
2015G1015,G,2015,10,0,100,0,0
2015G1023,G,2015,10,0,100,0,0
2015G1032,G,2015,10,0,100,0,0
2015G1040,G,2015,10,0,100,0,0
2016G1007,G,2016,10,0,100,0,0
2016G1015,G,2016,10,0,100,0,0
2016G1023,G,2016,10,0,100,0,0
2016G1032,G,2016,10,0,100,0,0
2016G1040,G,2016,10,0,100,0,0
2017G1007,G,2017,10,0,100,0,0
2017G1016,G,2017,10,0,100,0,0
2017G1024,G,2017,10,0,100,0,0
2017G1036,G,2017,10,0,100,0,0
2017G1044,G,2017,10,0,100,0,0
2018G1007,G,2018,10,0,100,0,0
2018G1016,G,2018,10,0,100,0,0
2018G1024,G,2018,10,0,100,0,0
2018G1036,G,2018,10,0,100,0,0
2018G1044,G,2018,10,0,100,0,0
2019G1006,G,2019,10,0,100,0,0
2019G1018,G,2019,10,0,100,0,0
2019G1026,G,2019,10,0,100,0,0
2019G1040,G,2019,10,0,100,0,0
2019G1048,G,2019,10,0,100,0,0
2019G1056,G,2019,10,0,100,0,0
2020G1006,G,2020,10,0,100,0,0
2020G1021,G,2020,10,0,100,0,0
2020G1029,G,2020,10,0,100,0,0
2020G1042,G,2020,10,0,100,0,0
2020G1050,G,2020,10,0,100,0,0
2020G1058,G,2020,10,0,100,0,0
2020G1066,G,2020,10,0,100,0,0
2021G1007,G,2021,10,0,100,0,0
2021G1020,G,2021,10,0,100,0,0
