Population,PIB par capita ($ US),IMC (Indice Masse Corporelle),%-immunisation Hépatite B,Polio immunisation (%),Diphthérie et tétanos (%-immunisation),Rougeole (cas par 1000 habitants),VIH/Sida (cas par 1000 habitants),"Prévalence malnutrition (1-19 ans, %)","Prévalence malnutrition (5-9 ans, %)",Facteur de revenu,Nombre d'années d'études,Espérance de vie (années)
33736494,584.25921,19.1,65,6,65,1154,0.1,17.2,17.3,0.479,10.1,65
327582,612.696514,18.6,62,58,62,492,0.1,17.5,17.5,0.476,10,59.9
31731688,631.744976,18.1,64,62,64,430,0.1,17.7,17.7,0.47,9.9,59.9
3696958,669.959,17.6,67,67,67,2787,0.1,17.9,18,0.463,9.8,59.5
2978599,63.537231,17.2,68,68,68,3013,0.1,18.2,18.2,0.454,9.5,59.2
2883167,553.32894,16.7,66,66,66,1989,0.1,18.4,18.4,0.448,9.2,58.8
284331,445.8932979,16.2,63,63,63,2861,0.1,18.6,18.7,0.434,8.9,58.6
2729431,373.3611163,15.7,64,64,64,1599,0.1,18.8,18.9,0.433,8.7,58.1
26616792,369.835796,15.2,63,63,63,1141,0.1,19,19.1,0.415,8.4,57.5
2589345,272.56377,14.7,64,58,58,1990,0.1,19.2,19.3,0.405,8.1,57.3
257798,25.2941299,14.2,66,58,58,1296,0.1,19.3,19.5,0.396,7.9,57.3
24118979,219.1413528,13.8,67,5,5,466,0.1,19.5,19.7,0.381,6.8,57
2364851,198.7285436,13.4,65,41,41,798,0.1,19.7,19.9,0.373,6.5,56.7
21979923,187.84595,13,64,36,36,2486,0.1,19.9,2.2,0.341,6.2,56.2
2966463,117.49698,12.6,63,35,33,8762,0.1,2.1,2.4,0.34,5.9,55.3
293756,114.56,12.2,62,24,24,6532,0.1,2.3,2.5,0.338,5.5,54.8
28873,3954.22783,58,99,99,99,0,0.1,1.2,1.3,0.762,14.2,77.8
288914,4575.763787,57.2,98,98,98,0,0.1,1.2,1.3,0.761,14.2,77.5
2941,4247.61438,55.8,99,99,99,9,0.1,1.3,1.4,0.752,14.2,76.9
291321,494.358832,54.3,99,99,99,10,0.1,1.4,1.5,0.725,12.5,76.2
2927519,4114.136545,53.5,98,98,98,0,0.1,1.5,1.6,0.721,12.2,76.1
2947314,437.539647,52.6,99,99,99,0,0.1,1.6,1.6,0.713,12,75.3
29717,363.13685,51.7,98,99,98,22,0.1,1.6,1.7,0.703,11.6,75.9
2992547,35.1293,5.8,98,97,97,68,0.1,1.7,1.8,0.696,11.4,74.2
339616,189.681557,47.9,97,97,97,8,0.1,1.9,2,0.674,10.7,72.8
36173,1326.97339,46,96,97,97,18,0.1,2.1,2.1,0.662,10.6,73.6
38927,1175.788981,45,96,97,97,662,0.1,2.1,2.2,0.656,10.7,72.6
39871528,4132.76292,59.5,95,95,95,63,0.1,6,5.8,0.743,14.4,75.6
39113313,547.8517,58.4,95,95,95,0,0.1,6,5.8,0.741,14.4,75.4
38338562,5471.866766,57.2,95,95,95,25,0.1,5.9,5.8,0.737,14.4,75.3
37565847,5564.82566,56.1,95,95,95,18,0.1,5.9,5.8,0.732,14.4,75.1
36819558,5432.2523,55,95,95,95,112,0.1,5.9,5.8,0.724,14,74.9
36117637,4463.394675,53.9,95,95,95,103,0.1,5.9,5.8,0.714,13.6,74.7
3546576,3868.83123,52.8,94,94,95,107,0.1,6,5.9,0.705,13.1,74.4
3486715,495.254866,51.8,91,92,93,217,0.1,6,5.9,0.697,12.6,74.1
34376,3935.183343,5.8,9,95,95,0,0.1,6,5.9,0.69,12.3,73.8
33777915,3464.6179,49.8,8,95,95,944,0.1,6.1,6,0.686,12.3,73.4
33288437,31.122378,48.9,83,88,88,2302,0.1,6.1,6,0.68,12,72.9
3283196,2598.9823,47.9,81,86,86,3289,0.1,6.2,6.1,0.673,11.7,72.3
3243514,294.33556,47,,87,87,15374,0.1,6.3,6.1,0.663,11.5,71.7
3199546,1774.33673,46.1,,86,86,5862,0.1,6.3,6.2,0.653,11.1,71.6
31592153,1732.857979,45.3,,89,89,2686,0.1,6.4,6.3,0.644,10.9,71.4
2785935,3695.793748,23.3,64,7,64,118,1.9,8.3,8.2,0.531,11.4,52.4
2599834,484.616884,22.1,77,67,77,8523,2.3,8.6,8.5,0.523,11.4,51.1
259615,4598.249988,21.5,75,75,75,4458,2.6,8.8,8.6,0.508,10.3,56
23369131,3529.53482,2.4,77,81,77,1190,2.5,9.1,9,0.488,9,49.6
22549547,3347.84485,19.8,61,63,6,2807,2.5,9.3,9.2,0.48,8.5,49.1
