Items,Calories,Matières Grasses (g),Carbohydrates (g),Fibres (g),Protéines (g),Type
8-Grain Roll,350,8,67,5,10,Boulangerie
Apple Bran Muffin,350,9,64,7,6,Boulangerie
Apple Fritter,420,20,59,0,5,Boulangerie
Banana Nut Loaf,490,19,75,4,7,Boulangerie
Birthday Cake Mini Doughnut,130,6,17,0,0,Boulangerie
Blueberry Oat Bar,370,14,47,5,6,Boulangerie
Blueberry Scone,460,22,61,2,7,Boulangerie
Bountiful Blueberry Muffin,370,14,55,0,6,Boulangerie
Butter Croissant ,310,18,32,0,5,Boulangerie
Cheese Danish,420,25,39,0,7,Boulangerie
Chocolate Chunk Cookie,380,17,51,2,4,Boulangerie
Chocolate Cinnamon Bread,320,12,53,3,6,Boulangerie
Chocolate Croissant,300,17,34,2,5,Boulangerie
Chocolate Old-Fashioned Doughnut,420,21,57,2,5,Boulangerie
Chonga Bagel,310,5,52,3,12,Boulangerie
Cinnamon Chip Scone,480,18,70,3,7,Boulangerie
Cranberry Orange Scone,490,18,73,2,8,Boulangerie
Double Chocolate Brownie,410,24,46,3,6,Boulangerie
Double Fudge Mini Doughnut,130,7,16,0,0,Boulangerie
Everything with Cheese Bagel,280,2,56,2,10,Boulangerie
Ginger Molasses Cookie,360,12,58,0,3,Boulangerie
Iced Lemon Pound Cake,490,23,67,0,5,Boulangerie
Mallorca Sweet Bread,420,25,42,0,7,Boulangerie
Maple Oat Pecan Scone ,440,18,59,3,8,Boulangerie
Marble Pound Cake,350,13,54,0,6,Boulangerie
Marshmallow Dream Bar,210,4,43,0,0,Boulangerie
Morning Bun,350,16,45,2,6,Boulangerie
Multigrain Bagel,300,3,60,6,15,Boulangerie
Old-Fashioned Glazed Doughnut,420,21,57,0,4,Boulangerie
Outrageous Oatmeal Cookie,370,14,56,3,5,Boulangerie
Petite Vanilla Bean Scone,140,5,21,0,0,Boulangerie
Plain Bagel,280,1,59,2,9,Boulangerie
Pumpkin Bread,390,14,61,2,6,Boulangerie
Pumpkin Scone ,480,17,78,2,6,Boulangerie
Raspberry Scone,480,25,59,3,8,Boulangerie
Raspberry Swirl Pound Cake,430,16,69,0,4,Boulangerie
Reduced-Fat Banana Chocolate Chip Coffee Cake,400,8,80,4,5,Boulangerie
Reduced-Fat Cinnamon Swirl Coffee Cake,340,9,62,2,4,Boulangerie
Reduced-Fat Very Berry Coffee Cake ,350,10,59,4,7,Boulangerie
Classic Coffee Cake,440,19,63,0,6,Boulangerie
Zucchini Walnut Muffin ,490,28,52,2,7,Boulangerie
Cheese & Fruit,480,28,39,6,18,Bistro
Chicken & Hummus,270,8,29,6,16,Bistro
Chicken Lettuce Wraps,360,19,32,4,17,Bistro
Chipotle Chicken Wraps,380,15,35,6,26,Bistro
Protein,380,19,37,5,13,Bistro
Salumi & Cheese,420,26,22,3,25,Bistro
Sesame Noodles,350,11,50,6,15,Bistro
Tuna Salad,380,21,25,5,23,Bistro
Apple Pie,180,7,27,0,2,Collation
Birthday Cake Pop,170,9,22,0,0,Collation
Brown Sugar Walnut Tart,190,12,24,0,2,Collation
Cherry Pie,170,7,24,0,2,Collation
Chocolate Creme Whoopie Pie,190,11,23,0,0,Collation
Chocolate Hazelnut Tart,180,10,23,0,2,Collation
Raspberry Truffle Cake Pop,160,8,24,0,2,Collation
Red Velvet Whoopie Pie,190,11,21,0,0,Collation
Tiramisu Cake Pop,170,9,22,0,0,Collation
Bacon & Gouda Artisan Breakfast Sandwich,350,18,30,0,17,Déjeuner chaud
Chicken Sausage Breakfast Wrap,300,10,33,5,14,Déjeuner chaud
Ham & Cheddar Artisan Breakfast Sandwich,350,16,31,0,20,Déjeuner chaud
Sausage & Cheddar Classic Breakfast Sandwich,500,28,41,0,19,Déjeuner chaud
Spinach & Feta Breakfast Wrap,290,10,33,6,19,Déjeuner chaud
Perfect Oatmeal,140,2.5,25,4,5,Déjeuner chaud
Turkey Bacon & White Cheddar Classic Breakfast Sandwich,320,7,43,3,18,Déjeuner chaud
Veggie & Monterey Jack Artisan Breakfast Sandwich,350,18,30,0,17,Déjeuner chaud
Deluxe Fruit Blend,80,0,20,2,0,Salade
Chicken Santa Fe Panini,400,11,47,2,26,Sandwich
Egg Salad Sandwich ,460,27,37,5,22,Sandwich
Ham & Swiss Panini,360,9,43,2,28,Sandwich
Roasted Tomato & Mozzarella Panini,390,18,44,3,15,Sandwich
Roasted Vegetable Panini,350,12,48,4,13,Sandwich
Tarragon Chicken Salad Sandwich,420,13,46,6,32,Sandwich
Turkey & Swiss Sandwich,390,13,36,2,34,Sandwich
Greek Yogurt Honey Parfait,300,12,44,0,8,Parfait
Peach Raspberry Yogurt Parfait,300,4,57,3,10,Parfait
Strawberry & Blueberry Yogurt Parfait,300,3.5,60,3,7,Parfait
