Date,Année,Jour Calendrier Saison,Temp max.(°C),Temp min.(°C),Temp moy.(°C),Diff Temp (°C),Précip. tot. (mm),Précip. Tot. Hiver (mm),Nombre épisodes gel/dégel,Production moyenne par entaille (L),Débit sève (L/j),Sucre sève (%),Alimentation osmoseur (L/j),Osmoseur (heures opération/j),Pression osmoseur (bar),Sucre sortie osmoseur (%),Température Bouilloire (0C),Temps bouilloire (h),Sucre du sirop obtenu (%),Quantité de sirop obtenue (L),Transmittance produit (%),Pixel1_R,Pixel1_G,Pixel1_B,Pixel2_R,Pixel2_G,Pixel2_B,Pixel3_R,Pixel3_G,Pixel3_B,Pixel4_R,Pixel4_G,Pixel4_B,Pixel5_R,Pixel5_G,Pixel5_B,Pixel6_R,Pixel6_G,Pixel6_B,Pixel7_R,Pixel7_G,Pixel7_B,Pixel8_R,Pixel8_G,Pixel8_B,Pixel9_R,Pixel9_G,Pixel9_B,Classe Sirop
2000-02-01,2000,1,-2.7,-11,-6.9,8.3,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-02,2000,2,-11,-14.9,-13,3.9,0.6,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-03,2000,3,-11,-18.9,-15,7.9,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-04,2000,4,-8.8,-24.4,-16.6,15.6,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-05,2000,5,-9.5,-19.6,-14.6,10.1,0.8,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-06,2000,6,-4.8,-18,-11.4,13.2,0.7,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-07,2000,7,-4.1,-19.1,-11.6,15,0.7,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-08,2000,8,-8.6,-22.3,-15.5,13.7,0,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-09,2000,9,-1.3,-15.2,-8.3,13.9,2.6,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-10,2000,10,-8.5,-20.1,-14.3,11.6,0.8,313.2,27,34.31536139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
