date,from,text
2/1/2011,nollytoenders,rt @nollytoenders: http://on.ted.com/8sbx ari carr-chellman: gaming to re-engage boys in learning #cck11
2/1/2011,gordon_l,@widged merits &amp; demerits of moocs etc - interesting discussion here: http://bit.ly/hsws91  #cck11
2/1/2011,livesofteachers,connectivism (learning theory) - qwiki http://bit.ly/dsd34w (very cool tool)
2/1/2011,cck11feeds,rt @zaidlearn: 23 educator roles: an imagined interview with stephen downes (#cck11): http://wp.me/pdhw0-hd &lt;see... http://bit.ly/f2qtvq
2/1/2011,cck11feeds,@doremigirl @wrightstufmusic we were talking about network learning pedagogy re: @courosa and #cck11 http://cck1... http://bit.ly/ewomif
2/1/2011,cck11feeds,23 educator roles: an imagined interview with stephen downes (#cck11): http://t.co/pjotgzb prof. baker use xtran... http://bit.ly/e8dduh
2/1/2011,cck11feeds,rt @ianchia: brave new world. check out @courosa' reform symposium keynote #cck11 #musedchat - got a link?: rt @... http://bit.ly/hhqwmm
2/1/2011,ajh432,rt @zaidlearn: 23 educator roles: an imagined interview with stephen downes (#cck11): http://wp.me/pdhw0-hd &lt;see the vid- love it!
2/1/2011,ianchia,@mathiaspoulsen @smgrimes so... what if we could take http://j.mp/hmmend &amp; put it into #gbl? build emedia literacy in as part of #cck11
2/1/2011,ianchia,@doremigirl @wrightstufmusic we were talking about network learning pedagogy re: @courosa and #cck11 http://cck11.mooc.ca/ sketching it out.
2/1/2011,zaidlearn,23 educator roles: an imagined interview with stephen downes (#cck11): http://t.co/pjotgzb prof. baker use xtranormal for that...awesome :)
2/1/2011,wrightstufmusic,rt @ianchia: brave new world. check out @courosa' reform symposium keynote #cck11 #musedchat - got a link?
2/1/2011,ianchia,@wrightstufmusic brave new world. check out @courosa' reform symposium keynote for network learning and #cck11 #musedchat
2/1/2011,newfacmajority,"digital scholar in #hastac, #catinstack answers question, why teach? http://bit.ly/i1fqxv | #cck11 #evomlit #lak11 #connectivism"
2/1/2011,brochefort,connectivism glossary http://www.connectivism.ca/?p=303 #edu7271 #edu6407
2/1/2011,hamtra,rt @cck11feeds: 10 ways to archive your tweets: http://rww.to/25fzu #twitter #cck11: 10 ways to archive your tweets: http://rww.... http://bit.ly/fsyvi7
2/1/2011,nollytoenders,rt @nollytoenders: http://on.ted.com/8sbx ari carr-chellman: gaming to re-engage boys in learning #cck11
2/1/2011,moodlemckean,rt @moodlemckean: 23 educator roles: an imagined interview with stephen downes (#cck11) | profesorbaker's blog http://bit.ly/h25bks #edchat #online #elearning
2/1/2011,hamtra,23 educator roles:  an imagined interview with stephen downes (#cck11): http://t.co/pjotgzb (ingenious way to summarize an article)
2/1/2011,moodlemckean,23 educator roles: an imagined interview with stephen downes (#cck11) | profesorbaker's blog http://bit.ly/h25bks #edchat #online #elearning
2/1/2011,suifaijohnmak,#cck11 are you on the radar? http://bit.ly/hn0hgf is power and control decentralised in cck?
2/2/2011,teadira,rt @profesorbaker: unity is strength: a connectivist writing lesson (#cck11) (#eltchat)... http://lnkd.in/z5fwvg
2/2/2011,profesortbaker,rt @profesorbaker: unity is strength: a connectivist writing lesson (#cck11) (#eltchat)... http://lnkd.in/z5fwvg
2/2/2011,profesorbaker,unity is strength: a connectivist writing lesson (#cck11) (#eltchat)... http://lnkd.in/z5fwvg
2/2/2011,moniquepijls,23 educator roles:  an imagined interview with stephen downes (#cck11): http://t.co/pz3ufx9 leuk filmpje over leren op muziek.
2/2/2011,profesorbaker,unity is strength: a connectivist writing lesson  (#cck11) (#eltchat) (#sirken) http://nblo.gs/dln8e
2/2/2011,profesortbaker,unity is strength: a connectivist writing lesson  (#cck11) (#eltchat) (#sirken) http://nblo.gs/dln8e
2/2/2011,shellterrell,via @profesortbaker unity is strength: a connectivist writing lesson  (#cck11) (#eltchat) (#sirken) http://bit.ly/gbjtr5 #edchat
2/2/2011,blog4edu,via @profesortbaker unity is strength: a connectivist writing lesson  (#cck11) (#eltchat) (#sirken) http://bit.ly/gbjtr5 #edchat
2/2/2011,jaapsoft,@gminks do possibilties for connections exist or invisible connections. what if nobody sees the pattern and nobody makes the patternn #cck11
2/2/2011,jaapsoft,#cck11 grasshopper shows only nr 1 317 and 318 something wrong? (osx)
2/2/2011,profesorbaker,21st century connectivist course book writer tips http://t.co/svul4ng #cck11 #sirken #eltchat #edreform #edtech #education #esl #efl
2/2/2011,cck11feeds,@brendasherry and of course i always forget to hashtag. what i just said #cck11: @brendasherry and of course i a... http://bit.ly/dft1oo
2/2/2011,cck11feeds,watching amber case and cyborg anthropology http://bit.ly/h0ihty interesting thoughts on connection #cck11: watc... http://bit.ly/gaducn
2/2/2011,barbaram,@brendasherry and of course i always forget to hashtag. what i just said #cck11
2/2/2011,barbaram,rt @brendasherry: watching amber case and cyborg anthropology http://bit.ly/h0ihty interesting thoughts on connection #cck11
2/2/2011,barbaram,"diving into eluminate session, readings with @downes http://bit.ly/djie1f no, i like it, i like, it's good;) http://bit.ly/hkgbvf"
2/2/2011,brendasherry,watching amber case and cyborg anthropology http://bit.ly/h0ihty interesting thoughts on connection #cck11
2/2/2011,suifaijohnmak,cck11 learner autonomy: http://wp.me/pkzni-26k
2/2/2011,ktimberlake08,"a post on connectivism! ""want to hear how my 14 year old sister learns?"" http://kristynrae08.wordpress.com/ #edt400"
2/2/2011,downes,rt @downes: how to use the grsshopper blog reader in #cck11 - short video - http://blip.tv/file/4709964
2/1/2011,suifaijohnmak,cck11 &amp; plenk future of real time and learning: http://wp.me/pkzni-26a
2/1/2011,stevemac121,rt @pipcleaves: i love this onto graphic on participators in social media http://j.mp/g8kgdl #cck11 #socialmedia #ucpdwep
2/1/2011,downes,rt @downes: how to use the grsshopper blog reader in #cck11 - short video - http://blip.tv/file/4709964
2/1/2011,ianchia,@smgrimes @mathiaspoulsen hello and yes. #gbl=game based learning. #cck11=http://cck11.mooc.ca/ more canadian awesomeness. a pedagogy based
2/1/2011,downes,rt @downes: how to use the grsshopper blog reader in #cck11 - short video - http://blip.tv/file/4709964
2/1/2011,pipcleaves,how to grow atextbook : http://j.mp/foatp6 a great guide for developing a digital textbook #paperless #cck11 #yam
2/1/2011,pipcleaves,real lms revolutionaries burn lms zombies: http://j.mp/hqxpky @via cogdog #cck11
